Name	Tax	Petition	Sort
"Adams, John"	22.5	NoS	1
"Aires, Nath'l"	24	NoS	2
"Andrew, Daniel"	119.25	Anti-P	3
"Bayly, Tho"	13	NoS	4
"Bishop, Edward"	48	Anti-P	5
"Boys, Joseph"	3.25	NoS	6
"Brabrook, Sam"	16	Anti-P	7
"Brown, John"	61.5	NoS	8
"Buckly, William"	24	Anti-P	9
"Burroughs, John"	30	NoS	10
"Buxton, John"	75	Anti-P	11
"Cave, Thomas"	3	NoS	12
"Chever, Ezekill"	13	Pro-P	13
"Clark, Thomas"	13	NoS	14
"Cloys, peter"	28.5	NoS	15
"Cooks, Isaac"	4.25	NoS	16
"Cory, Gilles"	4	NoS	17
"Cuby, Elisha"	3.25	NoS	18
"Darling, John"	10	NoS	19
"Dodge, William"	6.5	NoS	20
"Eliot, Andrew"	5	NoS	21
"felton, Nath junr"	5	NoS	22
"Flint, George"	27	Pro-P	23
"Flint, John"	27	Anti-P	24
"Flint, Thomas"	102	Pro-P	25
"Fuller, Tho senr"	166	Anti-P	26
"Fuller, Thomas junr"	48	Pro-P	27
"Gefords, Frances & farm"	27.5	NoS	28
"Giles, John"	6.25	NoS	29
"Gingill, John"	70.5	NoS	30
"Goodell, [ ], widow of Isaac"	10	NoS	31
"Goodell, Zaccary"	54	Pro-P	32
"Hadlock, James junr"	24	NoS	33
"Hadlock, James senr"	29.25	NoS	34
"Haile, Thomas"	7.5	NoS	35
"Haines, Thomas"	42.5	Pro-P	36
"Herrick, Joseph"	60	Anti-P	37
"Herrick, Zacca"	12	NoS	38
"Holton, Benj"	21	NoS	39
"Holton, Joseph jur"	32	Anti-P	40
"Holton, Joseph senr"	66	Anti-P	41
"Hutchinson, Joseph"	132.25	Anti-P	42
"Hutchinson, Richard"	49.5	NoS	43
"Ierland, William"	45	NoS	44
"Ingersoll, Natha"	72	Pro-P	45
"Kellom, Lott"	24	NoS	46
"Kenny, Henry"	45	Anti-P	47
"Kenny, John"	30	NoS	48
"Keny, Thomas"	30	NoS	49
"Knight, Jonathan"	30	NoS	50
"Mazary, Joseph"	40	NoS	51
"Nickols, John"	10	NoS	52
"Nickols, William"	10	NoS	53
"Nurs, Frances"	18	Anti-P	54
"Nurs, Sam'l"	24	Anti-P	55
"Osborn, Allexander"	42	Anti-P	56
"Osborn, William"	3	NoS	57
"pope, Joseph"	60	Anti-P	58
"porter, Isarell"	30	Anti-P	59
"porter, Joseph"	123	Anti-P	60
"prescott, Peter"	24.5	Pro-P	61
"preston, Thomas"	30	Anti-P	62
"putnam, Edward"	37	Pro-P	63
"putnam, John jur"	54	Pro-P	64
"putnam, Jona't"	36	Pro-P	65
"putnam, Lt John"	160	Pro-P	66
"Putnam, Luet: Thomas"	206.25	NoS	67
"putnam, Natha'l"	190	Pro-P	68
"putnam, Tho: jur"	54	Pro-P	69
"Rament, William"	9.75	NoS	70
"Rament,Thomas"	54	Anti-P	71
"Rea, Daniel"	60	NoS	72
"Rea, Joshua"	147	Anti-P	73
"Renols, Henry"	2.25	NoS	74
"Roots, Joseph"	4.75	NoS	75
"Sheepard, John"	30	NoS	76
"Sibley, Samuel"	38	Pro-P	77
"Sibley, William"	96	NoS	78
"Smith, James"	24.5	NoS	79
"Swinaton, Job jur"	90	Anti-P	80
"Swinaton, Job Senr"	60	NoS	81
"Tarbill, John"	24	Anti-P	82
"Walcott, Abraham"	9	Pro-P	83
"Walcott, Jonathan"	66	Pro-P	84
"Watts, Jerimy"	5	NoS	85
"Way, Aaron"	39	Pro-P	86
"Way, William"	30	Pro-P	87
"Wilknes, Benjamin"	36	Pro-P	88
"Wilknes, Bray"	52.5	Pro-P	89
"Wilknes, Henry"	30	Pro-P	90
"Wilknes, Samuell"	36	Pro-P	91
"Wilknes, Thomas"	56.75	Anti-P	92
"Woodbery, peter"	2.5	NoS	93
"Woodrow, Joseph"	15	NoS	94
